"X_location","Y_location","Z_location","velocity","beam_number"
82207.281250,24854.388672,3377.726562,3330.552002,1
82213.492188,24854.990239,3389.530762,3349.847900,1
82219.726562,24850.593750,3401.346929,3340.362109,1
82220.976562,24856.399219,3413.375049,3349.846680,1
82237.242188,24856.806644,3420.914409,3354.405762,1
82238.523438,24857.416016,3436.864502,3358.371582,1
82244.820312,24858.925394,3448.725098,3367.546143,1
82251.332812,24858.636719,3469.594727,3360.903076,1
82257.460938,24859.250000,3477.473389,3369.382080,1
82263.804688,24859.863284,3484.360107,3377.585205,1
82279.364062,24869.478516,3496.254395,3370.533203,1
82276.531250,24861.995703,3508.356006,3378.594727,1
82287.914062,24861.712894,3529.964453,3381.245364,1
82289.304688,24867.332034,3531.979492,3383.983643,1
82290.710938,24867.951172,3543.900879,3386.575439,1
82307.325000,24863.572266,3550.828369,3389.332568,1
82308.546875,24864.393359,3567.761963,3391.681644,1
82314.984375,24864.816406,3579.702393,3394.976807,1
82321.429688,24860.439453,3591.649902,3398.908545,1
82327.890625,24866.964453,3603.605469,3401.547363,1
82334.367188,24866.689453,3610.569336,3400.312749,1
82349.859375,24867.316406,3627.541748,3408.948486,1
82347.359375,24867.945312,3639.524419,3413.854009,1
82353.882812,24868.576172,3651.517578,3418.220703,1
82369.421875,24869.208989,3663.522217,3423.356738,1
82366.976562,24869.841797,3670.538330,3428.378223,1
82373.554688,24879.476562,3687.566162,3433.307178,1
82389.356250,24871.313284,3699.606939,3438.893555,1
82386.773438,24871.751953,3711.660645,3444.412598,1
82393.414062,24877.392578,3723.728760,3459.687988,1
82409.978125,24873.937109,3730.811523,3457.323535,1
82406.765625,24873.683599,3747.909180,3463.442383,1
82413.484375,24874.332034,3769.922464,3479.327393,1
82429.226562,24874.982422,3777.351367,3477.973975,1
82427.900000,24870.636719,3784.296634,3484.904639,1
82433.796875,24876.292969,3796.458008,3499.971680,1
82449.625000,24876.951172,3808.635742,3497.918945,1
82447.476562,24877.611328,3829.829839,3504.951909,1
82454.359375,24878.275394,3833.940283,3511.812012,1
82461.265625,24878.941406,3840.266602,3518.630374,1
82468.203125,24879.609375,3857.508545,3520.395068,1
82470.364062,24889.281250,3869.765869,3531.850098,1
82487.356250,24889.955078,3887.937842,3538.396289,1
82489.371875,24881.630859,3894.324707,3544.698975,1
82496.210938,24887.310547,3906.626465,3551.383838,1
82503.281250,24887.992188,3918.942627,3557.385742,1
82519.375000,24883.675784,3931.272949,3563.680176,1
82517.492188,24884.361328,3943.616943,3569.687256,1
82524.640625,24880.948828,3950.974859,3570.810547,1
82531.812500,24880.740239,3968.346436,3581.946045,1
82539.907812,24886.433599,3989.731445,3587.703857,1
82546.226562,24887.328906,3993.329639,3593.464355,1
82553.468750,24887.826172,4000.540283,3599.324023,1
82569.734375,24888.525394,4017.962894,3604.367725,1
82568.923438,24889.226562,4039.396973,3609.459964,1
82570.335938,24889.929688,4047.842285,3614.428223,1
82587.664062,24899.634766,4050.299805,3629.866943,1
82599.923438,24891.343750,4067.770996,3627.319144,1
82597.406250,24897.954688,4089.257329,3634.778320,1
82604.820312,24897.767578,4097.759033,3641.734863,1
82617.265625,24893.484375,4100.276367,3648.831055,1
82619.734375,24894.203125,4117.809082,3656.921240,1
82627.234375,24894.923828,4139.356939,3663.202637,1
82634.765625,24890.648438,4147.920898,3679.825195,1
82641.890625,24896.333989,4154.766602,3678.200689,1
82657.907812,24890.947266,4158.529785,3657.239746,1
82657.281250,24890.898438,4157.636230,3651.687749,1
82656.500000,24890.334766,4143.704590,3643.340384,1
82669.703125,24894.375000,4129.801758,3634.611089,1
82664.882812,24893.617188,4110.927739,3626.718999,1
82669.946875,24897.863284,4107.981055,3618.860840,1
82673.395312,24897.313284,4088.261719,3611.950293,1
82677.328125,24891.365239,4074.469482,3603.302783,1
82681.445312,24899.621099,4069.704346,3590.726562,1
82680.546875,24889.878906,4046.963135,3588.301270,1
82689.632812,24889.340625,4033.243896,3587.726562,1
82693.710938,24888.404297,4019.544922,3576.890384,1
82697.773438,24887.669922,4000.866455,3571.303714,1
82701.828125,24886.937500,3997.209229,3560.280762,1
82700.867188,24886.208989,3978.573975,3558.802246,1
82709.890625,24880.482422,3964.961670,3557.382568,1
82713.898438,24884.757812,3951.372803,3540.694580,1
82717.890625,24884.937109,3937.807373,3538.944336,1
82721.867188,24883.318359,3924.265869,3537.270508,1
82720.835938,24887.603516,3919.748535,3520.414307,1
82729.789062,24881.890625,3897.255615,3518.398193,1
82733.726562,24881.381644,3883.787598,3511.438477,1
82737.648438,24889.474609,3879.344727,3504.340820,1
82741.554688,24879.771489,3856.927246,3497.976416,1
82740.445312,24879.970312,3843.535400,3489.873294,1
82749.320312,24878.373047,3839.369678,3487.520508,1
82753.379688,24877.677739,3816.830322,3474.916260,1
82757.923438,24876.986328,3803.517822,3467.313232,1
82769.851562,24876.296875,3799.231939,3459.800049,1
82764.664062,24870.611328,3776.972412,3457.342529,1
82768.460938,24874.927739,3763.739258,3444.828125,1
82777.242188,24874.248047,3759.531738,3437.378418,1
82776.907812,24873.570312,3737.349609,3439.558599,1
82779.757812,24877.896489,3724.391650,3423.632329,1
82783.492188,24877.224609,3711.956885,3416.907227,1
82787.218750,24871.554688,3697.944580,3419.954590,1
82799.929688,24879.886719,3684.853274,3404.832275,1
